"sample","DNA","RNA","ALL"
"UGR25",0,0,0
"BAT2789",0,1,1
"UGR33",0,1,1
"UV16",0,0,0
"BAT16",0,0,0
"UR34",0,2,2
"BAT615",1,0,1
"UGR6",0,0,0
"BAT413",0,3,3
"BAT2792",0,1,1
"BAT1837",0,1,1
"BAT603",0,1,1
"UR33",0,0,0
"UV23",0,1,1
"UGR57",0,1,1
"BFS054",0,0,0
"BAT1833",0,1,1
"UR32",0,0,0
"BAT2791",0,1,1
"BAT2985",0,1,1
"QEPC028R",0,0,0
"BAT1823",0,2,2
"UGR8",0,1,1
"UR9",0,0,0
"BAT2800",0,0,0
"BAT20",0,1,1
"UGR56",0,0,0
"BAT0639",1,0,1
"UR3",1,0,1
"UGR70",1,0,1
"UGR76",0,0,0
"BAT513",0,0,0
"BAT2075",1,0,1
"UV19",0,1,1
"BAT2",0,2,2
"BAT14",0,0,0
"UV32",2,4,6
"BAT7",0,0,0
"BAT1840",0,0,0
"UR21",0,1,1
"UR41",0,0,0
"UGR83",1,0,1
"BAT1826",0,1,1
"UV40",1,0,1
"UGR55",0,0,0
"UR35",0,2,2
"UR52",0,0,0
"BAT1835",0,1,1
"UR10",0,0,0
"UV8",0,1,1
"BAT406",0,0,0
"BAT6",0,1,1
"UR27",0,0,0
"UV5",0,0,0
"UV26",0,0,0
"BAT0638",0,0,0
"BAT8",0,1,1
"BAT3",0,1,1
"UR45",0,0,0
"UR26",0,0,0
"UGR36",0,0,0
"UR53",0,0,0
"UGR52",1,0,1
"UGR79",0,1,1
"UGR38",0,0,0
"UR39",0,0,0
"UR36",0,2,2
"BAT1986",0,1,1
"UV22",0,0,0
"BAT1829",0,0,0
"UV25",0,3,3
"UGR59",0,1,1
"BAT10",0,0,0
"UGR87",0,3,3
"BAT2813",0,3,3
"UR31",0,0,0
"BAT18",0,2,2
"BAT9",0,0,0
"UR25",0,3,3
"BAT13",0,0,0
"UV2",0,0,0
"BAT400",0,0,0
"UV24",0,1,1
"BAT15",0,0,0
"UV42",0,1,1
"UV4",0,1,1
"QEPC091R",0,1,1
"UGR91",1,0,1
"UGR41",0,0,0
"UGR74",1,0,1
"UV30",0,0,0
"UV28",0,1,1
"UV43",1,0,1
"BAT11",0,2,2
"UV18",0,1,1
"UGR23",0,0,0
"UV41",0,0,0
"UV34",0,0,0
"QEPC005",0,0,0
"UGR4",0,0,0
"UGR63",0,0,0
"UR12",0,0,0
"UV36",0,0,0
"UV37",0,0,0
"UR50",0,0,0
"QEPC045",1,0,1
"UV29",1,0,1
"UR5",0,0,0
"UGR80",0,1,1
"UV12",0,0,0
"UV44",0,0,0
"UV35",0,1,1
"UR38",0,1,1
"UV33",0,1,1
"UV31",0,0,0
"UR44",0,0,0
"QEPC046",0,1,1
"UV39",0,0,0
"UV27",0,0,0
"QEPC004",0,0,0
"UGR77",0,0,0
"UV1",0,0,0
