"genus","DNA","RNA","ALL","CroplandSize","PastureSize","TotalPopulationSize","Elevation","DistanceToClosestTown","MammalSympatry","AdultBodyMass_g","AdultForearmLen_mm","DietBreadth","LitterSize","LittersPerYear","PopulationGrpSize","TrophicLevel","BodyMassValue","RWL","AR","Forearm","Mass","Pulse","GroupSize","Lifespan","CleanDataSize","CleanQ30","TotalContigLength","ContigCount","neighborSampleNum","neighborBatGenus","neighborDNAvirusMean","neighborRNAvirusMean"
"Otomops",0,0,0,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,938023476,95.22,28551449,"46354",19,2,0,0
"Otomops",1,1,2,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,10798229510,93.68,1000213243,"1260265",19,2,0,0
"Otomops",0,1,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,8250229901,89.45,483475533,"798182",19,2,0,0
"Otomops",0,2,2,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,8261012462,93.67,779898228,"1027813",19,2,0,0
"Otomops",0,0,0,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,3908517641,95.26,168154224,"317446",19,2,0,0
"Rousettus",0,1,1,18.40135002,37.02971649,3291.423096,15,50742.25411,122,83.0575,81.97333333,2.25,1.03125,2,5.156012683,1.25,79.597,47.97856747,5.999999995,82.4516667,90.37499998,2,1000.999999,274.8,8038602852,88.38,204488705,"447872",22,2,0,0.545454545454545
"Rousettus",0,0,0,18.40135002,37.02971649,3291.423096,15,50742.25411,122,83.0575,81.97333333,2.25,1.03125,2,5.156012683,1.25,79.597,47.97856747,5.999999995,82.4516667,90.37499998,2,1000.999999,274.8,20774005385,86.59,361341651,"590801",22,2,0,0.590909090909091
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,1089502923,89.53,21491478,"40283",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,5418561652,87.89,77505662,"178669",25,2,0,0
"Eidolon",0,1,1,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,628042915,89.3,14365343,"12975",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,685068443,91.37,15086440,"24907",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,4532869503,89.02,179729656,"351545",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,2757695968,87.33,27801676,"66466",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,3594735036,86.8,33157012,"80088",25,2,0,0
"Eidolon",1,0,1,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,1867305729,91.93,54858798,"87724",25,2,0,0
"Eidolon",0,1,1,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,1545144460,93.57,45905739,"79272",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,2299159724,87.02,17428167,"41532",25,2,0,0
"Eidolon",0,1,1,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,1405621321,91.92,38068686,"68104",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,2584180820,89.14,69964121,"136551",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,6158797801,85.95,159120353,"250882",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,5123065335,87.99,61364305,"142962",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,3756594689,87.54,12758047,"27610",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,4658738666,89.28,154377778,"314182",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,4594358044,87.64,33969004,"73016",25,2,0,0
"Eidolon",0,0,0,0.79341644,41.39586639,1015.505188,1858,33643.41724,157,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,794249855,85.47,1607893,"3571",25,2,0,0
"Rousettus",0,2,2,18.40135002,37.02971649,3291.423096,15,50742.25411,122,83.0575,81.97333333,2.25,1.03125,2,5.156012683,1.25,79.597,47.97856747,5.999999995,82.4516667,90.37499998,2,1000.999999,274.8,25347071155,84.76,161791169,"399507",22,2,0,0.545454545454545
"Eidolon",0,0,0,48.5924263,13.45393085,240059.5938,1742,3986.872455,136,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,885094767,82.81,141199,"296",24,2,0,0
"Eidolon",0,0,0,48.5924263,13.45393085,240059.5938,1742,3986.872455,136,276.095,124.11,3,1.15,1,10.81977828,1,268.53,47.11269039,6.900000004,123.15,261.9999998,1,549999.9994,261.99,4332975464,86.45,11078784,"31870",24,2,0,0
