"root_ID","neighbor","distance"
"BAT0641","BAT582",0
"BAT0641","BAT591",0
"BAT0641","BAT592",0
"BAT0641","BAT593",0
"BAT0641","BAT594",0
"BAT0641","BAT595",0
"BAT0641","BAT596",0
"BAT0641","BAT597",0
"BAT0641","BAT598",0
"BAT0641","BAT599",0
"BAT0641","BAT600",0
"BAT0641","BAT601",0
"BAT0641","BAT602",0
"BAT0641","BAT603",0
"BAT0641","BAT604",0
"BAT0641","BAT605",0
"BAT0641","BAT606",0
"BAT0641","BAT607",0
"BAT0641","BAT608",0
"BAT0641","BAT609",0
"BAT0641","BAT610",0
"BAT0641","BAT611",0
"BAT0641","BAT612",0
"BAT0641","BAT613",0
"BAT0641","BAT614",0
"BAT0641","BAT615",0
"BAT0641","BAT616",0
"BAT0641","BAT617",0
"BAT0641","BAT618",0
"BAT0641","BAT619",0
"BAT0641","BAT620",0
"BAT0641","BAT621",0
"BAT0641","BAT624",0
"BAT0641","BAT625",0
"BAT0641","BAT626",0
"BAT0641","BAT627",0
"BAT0641","BAT630",0
"BAT0641","BAT631",0
"BAT0641","BAT632",0
"BAT0642","BAT0633",0
"BAT0642","BAT0634",0
"BAT0642","BAT0635",0
"BAT0642","BAT0636",0
"BAT0642","BAT0637",0
"BAT0642","BAT0638",0
"BAT0642","BAT0639",0
"BAT0642","BAT0640",0
"BAT0642","BAT0641",0
"BAT0642","BAT0643",0
"BAT0642","BAT0644",0
"BAT0642","BAT0645",0
"BAT0642","BAT0646",0
"BAT0642","BAT0647",0
"BAT0642","BAT0648",0
"BAT0642","BAT0649",0
"BAT0642","BAT0650",0
"BAT0642","BAT0651",0
"BAT0642","BAT0652",0
"BAT0642","BAT582",0
"BAT0642","BAT591",0
"BAT0642","BAT592",0
"BAT0642","BAT593",0
"BAT0642","BAT594",0
"BAT0642","BAT595",0
"BAT0642","BAT596",0
"BAT0642","BAT597",0
"BAT0642","BAT598",0
"BAT0642","BAT599",0
"BAT0642","BAT600",0
"BAT0642","BAT601",0
"BAT0642","BAT602",0
"BAT0642","BAT603",0
"BAT0642","BAT604",0
"BAT0642","BAT605",0
"BAT0642","BAT606",0
"BAT0642","BAT607",0
"BAT0642","BAT608",0
"BAT0642","BAT609",0
"BAT0642","BAT610",0
"BAT0642","BAT611",0
"BAT0642","BAT612",0
"BAT0642","BAT613",0
"BAT0642","BAT614",0
"BAT0642","BAT615",0
"BAT0642","BAT616",0
"BAT0642","BAT617",0
"BAT0642","BAT618",0
"BAT0642","BAT619",0
"BAT0642","BAT620",0
"BAT0642","BAT621",0
"BAT0642","BAT624",0
"BAT0642","BAT625",0
"BAT0642","BAT626",0
"BAT0642","BAT627",0
"BAT0642","BAT630",0
"BAT0642","BAT631",0
"BAT0642","BAT632",0
"BAT0643","BAT0633",0
"BAT0643","BAT0634",0
"BAT0643","BAT0635",0
"BAT0643","BAT0636",0
"BAT0643","BAT0637",0
"BAT0643","BAT0638",0
"BAT0643","BAT0639",0
"BAT0643","BAT0640",0
"BAT0643","BAT0641",0
"BAT0643","BAT0642",0
"BAT0643","BAT0644",0
"BAT0643","BAT0645",0
"BAT0643","BAT0646",0
"BAT0643","BAT0647",0
"BAT0643","BAT0648",0
"BAT0643","BAT0649",0
"BAT0643","BAT0650",0
"BAT0643","BAT0651",0
"BAT0643","BAT0652",0
"BAT0643","BAT582",0
"BAT0643","BAT591",0
"BAT0643","BAT592",0
"BAT0643","BAT593",0
"BAT0643","BAT594",0
"BAT0643","BAT595",0
"BAT0643","BAT596",0
"BAT0643","BAT597",0
"BAT0643","BAT598",0
"BAT0643","BAT599",0
"BAT0643","BAT600",0
"BAT0643","BAT601",0
"BAT0643","BAT602",0
"BAT0643","BAT603",0
