sample_id,CleanDataSize,CleanQ30,TotalContigLength,ContigCount
BAT2325,2437395574,89.43,49015073,81413
BAT2326,1889695238,88.23,39085727,77608
BAT2327,2572073995,87.91,35361923,69817
BAT2328,4416900800,86.3,43993136,84394
BAT2363,4021189102,87.19,108455952,240775
BAT2376,2990433334,84.87,37739858,82086
BAT2377,2559746990,88.08,47102222,89582
BAT2378,1241733859,90.9,38239396,52820
BAT2379,4213874747,90.27,193689502,392202
BAT2380,1481955692,90.92,42807775,53203
BAT2381,2073982778,88.42,34685985,64885
BAT2382,877362829,88.54,29130914,42140
BAT2383,4591294502,89.14,255278927,508558
BAT2384,5211668983,88.05,269651317,569966
BAT2385,2220571657,87.99,52410198,108808
BAT2426,5548486176,89.43,154714096,317658
BAT2427,4684344329,87.15,52775209,111498
BAT2428,5521595050,86.75,60481302,116793
BAT2429,3350467248,88.14,57552834,116352
BAT2430,6053460871,87.31,94176682,192038
BAT2431,4183923913,87.27,73519961,157015
BAT2432,1748175060,90.71,56844146,109987
BAT2433,3288495424,88.81,54250837,105378
BAT2434,2400390704,88.36,40969485,69959
BAT2435,4462594606,86.82,45339058,82973
BAT246,166156233,88.66,652688,1104
BAT247,762052858,83.6,4794369,6867
BAT2476,5338756963,89.32,353272406,666816
BAT2477,8797884444,90.32,698209078,1138203
BAT2478,7018469870,86.03,81018864,181754
BAT2479,2092220925,87.77,52395020,90394
BAT2480,4782298070,87.07,120500712,258788
BAT2481,9316428740,87.39,690562015,1111238
BAT2482,6829198814,87.11,171604232,364632
BAT2483,11592594016,89.98,1026018741,1427379
BAT2484,5227412998,87.76,210287622,451795
BAT2485,4241581508,86.2,67365054,145650
BAT249,2774164628,83.81,4999413,4690
BAT2519,6457284135,88.8,177083135,308777
BAT2520,6458455833,89.63,308144696,573632
BAT2521,7004713378,88.99,241504648,476328
BAT2522,2123603821,91.24,66984013,121668
BAT2523,2663918012,91.89,96806416,107651
BAT2524,3219406914,90.36,118702943,224885
BAT2525,3297240859,90.49,130689427,239586
BAT2526,3445802970,87.82,102678711,206046
BAT2527,4439560046,87.35,199462291,370607
BAT2528,4399699264,89.19,143685550,271595
BAT255,11235318599,84.79,20517129,37809
BAT2555,1665979566,85.52,1859334,3925
BAT256,5415339656,87.23,34458300,64362
BAT257,3096120526,86.73,32314089,47729
BAT2576,4456684557,88.02,228596890,471478
BAT2577,6778414139,90.15,205839517,215082
BAT2578,13915656122,91.32,854811742,1046644
BAT2579,5823774725,86.44,62524709,121946
BAT258,5184734878,86.46,58009657,92118
BAT2580,2373198422,90.38,124277903,191696
BAT2581,3048471543,88.24,73029105,136682
BAT2582,2447756222,85.8,57191006,102033
BAT2583,1322198376,88.04,40435382,66332
BAT2584,9611501369,88.11,548403866,895455
BAT2585,2811748690,86.42,35461481,72132
BAT2586,2687800015,89.53,87797065,149688
BAT2587,2508451091,89.27,83969466,176236
BAT2588,2223691651,87.85,119879066,259289
BAT2589,1525448432,87.31,17785413,32542
BAT259,14136057914,86.5,81549012,177883
BAT2590,3069368571,87.68,104115555,183324
BAT2591,1852866591,89.4,56527097,103271
BAT2592,3488999088,90,89242730,95762
BAT2593,5475207154,87.32,96482727,151757
BAT2594,4136714250,85.14,117425300,204269
BAT260,5454677680,86.49,27429451,53455
BAT261,7479611332,86.15,78935172,111021
BAT2618,2560367155,86.06,3876652,5397
BAT262,8763382793,85.76,107050027,185109
BAT2621,9821682415,89.73,843159574,997798
BAT263,5042892449,86.31,55807864,114416
BAT264,3041000532,89.51,14157253,19187
BAT265,5382669308,86.71,39327102,63725
BAT266,22938093011,86.43,47592159,74093
BAT267,15261578435,86.54,312368538,550209
BAT268,14448271455,87.1,2571379,5543
BAT269,9218217708,88.29,436405405,748044
BAT270,10186874540,86.65,168107870,349363
BAT271,5778607876,88.38,83047859,103785
BAT272,2555927364,85.61,23778753,31122
BAT2726,3441319923,88.74,118726338,165432
BAT2727,3775913063,88.97,195653554,336585
BAT2728,5564475355,86.29,359210134,685872
BAT2729,1912681591,85.76,26849005,44210
BAT273,8446609858,85.25,118345896,242943
BAT2730,5709554540,86.59,365644191,712556
BAT2731,1698881352,87.66,92765682,129882
BAT2732,2223587078,88.22,101919004,165293
BAT2733,2411667688,86.13,58129259,106400
BAT2734,4879940890,88.29,199646065,320413
BAT2735,4866114228,88.67,218284780,280605
BAT2736,5484279328,87.12,189787030,351384
BAT2737,6302162859,87.22,452689498,831271
BAT2738,1871529476,87.9,63863575,99253
BAT2739,7542394887,87.01,632896484,1064061
BAT274,7991524937,86.04,87950142,196182
BAT2740,2123624746,88.98,38610542,62541
BAT2741,1808402481,84.57,63639196,107954
BAT2742,2388897913,84.99,50223294,100420
BAT2743,3859947497,86.87,136258397,292353
BAT2744,4295588966,87.29,40759950,83038
BAT2745,4686987321,87.42,220253855,464378
BAT2786,10437351737,89.29,773263435,805152
BAT2787,3976012736,89.08,262872109,511604
BAT2788,3429754797,89.58,156798609,353885
BAT2789,12237913643,89.61,1020981910,1546520
BAT2790,792523121,89.72,18738201,36151
BAT2791,13413817642,91.52,1137415536,1388608
BAT2792,12705599972,90.05,852379534,965167
BAT2793,5094073698,90.74,417994094,685446
BAT2794,7066958124,90.48,677566797,808307
BAT2795,7488761477,90.38,593839511,803638
BAT2796,3257394378,89.77,192265681,400097
BAT2797,11338710528,91.26,758590896,1031655
BAT2798,5127016200,91.71,472906121,799322
BAT2799,1856604646,87.57,38197444,83828
BAT2800,14062681586,90.72,1005121279,1212211
BAT2801,10700621782,88.97,720619196,1002111
BAT2802,1926115545,89.35,69243358,160448
BAT2803,6322960238,91.13,594662539,850612
BAT2804,2359712643,86.81,57465274,130826
BAT2813,21190244045,92.71,1316460390,1366991
BAT2985,13518025490,91.52,829238014,1048602
BAT2986,1989109144,88.86,25693699,32691
BAT2987,3107102459,88.17,85122554,185569
BAT2988,3426120509,88.03,61388964,118504
BAT2989,1118779042,88.33,40960262,64420
BAT2990,4169746771,86.74,18741804,39017
BAT2991,3931706067,88.91,70620944,136518
BAT2992,3905585134,89.21,57618875,124411
BAT2993,4408432011,91.29,204110507,340943
BAT2994,1100266057,89.86,13414376,17512
BAT2995,4284263522,86.47,43611560,99119
BAT2996,2604762516,89.58,54190763,84324
BAT2997,13989939780,90.23,1205287213,1704232
BAT2998,1780247130,85.24,12143788,21851
BAT2999,3597336075,85.64,42663779,84415
BAT3,18348005995,87.88,466083058,1084066
BAT3000,9840443722,89.74,451193610,752146
BAT3003,2667694660,90.07,133705541,278239
BAT3004,3133635701,87,38686724,87542
BAT3030,4181328823,83.52,8681421,7265
BAT3096,6787055983,88.98,243658504,420808
BAT3097,6533264353,89.33,273561816,482550
BAT321,300330770,84.56,290474,762
BAT3503,1500101584,82.83,503827,1191
BAT398,1909558745,95.73,120497436,233566
BAT399,7860220308,92.98,536970459,786020
BAT4,4667716683,88.09,56798328,95840
BAT400,22782130334,95.89,1295437831,1525494
BAT401,1711266195,80.84,1051549,1788
BAT402,3401646961,83.2,3671702,8948
BAT403,1243075612,93.77,44570318,100465
BAT404,8084359626,93.1,466661764,692978
BAT405,8428090809,83.98,19949341,46065
BAT406,17561209657,95.66,1124245946,1386361
BAT407,4496980213,93.82,184175211,397909
BAT408,5557070287,95.62,482944445,722271
BAT409,1403661316,95.61,102797501,179606
BAT410,10523804825,94.28,687299458,833916
BAT412,10527909034,96.24,838428231,1091504
BAT413,12676659468,93.32,982342724,1202775
BAT414,11034959104,93.99,920320676,1265666
BAT415,7289944699,95.93,632787029,933979
BAT416,9342225975,95.67,738632861,1038188
